Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
"(32.0, 46.0]",Yes,Travel_Rarely,"(902.0, 1102.0]",Sales,"(0.999, 8.0]",2,Life Sciences,"(0.999, 251.0]",2,Female,"(78.0, 102.0]",3,2,Sales Executive,4,Single,"(4009.0, 7009.0]","(17094.0, 22094.0]","(4.0, 9.0]",Yes,"(10.999, 16.0]",3,1,0,"(5.0, 10.0]","(-0.001, 1.0]",1,"(5.0, 10.0]","(2.0, 6.0]","(-0.001, 0.5]","(2.0, 5.0]"
"(46.0, 60.0]",No,Travel_Frequently,"(101.999, 302.0]",Research & Development,"(0.999, 8.0]",1,Life Sciences,"(0.999, 251.0]",3,Male,"(54.0, 78.0]",2,2,Research Scientist,2,Married,"(4009.0, 7009.0]","(22094.0, 27094.0]","(0.5, 1.5]",No,"(21.0, 26.0]",4,4,1,"(5.0, 10.0]","(2.0, 3.0]",3,"(5.0, 10.0]","(6.0, 8.0]","(0.5, 1.0]","(5.0, 7.0]"
"(32.0, 46.0]",Yes,Travel_Rarely,"(1302.0, 1502.0]",Research & Development,"(0.999, 8.0]",2,Other,"(0.999, 251.0]",4,Male,"(78.0, 102.0]",2,1,Laboratory Technician,3,Single,"(1008.999, 4009.0]","(2093.999, 7094.0]","(4.0, 9.0]",Yes,"(10.999, 16.0]",3,2,0,"(5.0, 10.0]","(2.0, 3.0]",3,"(-0.001, 2.0]","(-0.001, 1.0]","(-0.001, 0.5]","(-0.001, 1.0]"
"(32.0, 46.0]",No,Travel_Frequently,"(1302.0, 1502.0]",Research & Development,"(0.999, 8.0]",4,Life Sciences,"(0.999, 251.0]",4,Female,"(54.0, 78.0]",3,1,Research Scientist,3,Married,"(1008.999, 4009.0]","(22094.0, 27094.0]","(0.5, 1.5]",Yes,"(10.999, 16.0]",3,3,0,"(5.0, 10.0]","(2.0, 3.0]",3,"(5.0, 10.0]","(6.0, 8.0]","(2.0, 15.0]","(-0.001, 1.0]"
"(17.999, 32.0]",No,Travel_Rarely,"(502.0, 702.0]",Research & Development,"(0.999, 8.0]",1,Medical,"(0.999, 251.0]",1,Male,"(29.999, 54.0]",3,1,Laboratory Technician,2,Married,"(1008.999, 4009.0]","(12094.0, 17094.0]","(4.0, 9.0]",No,"(10.999, 16.0]",3,4,1,"(5.0, 10.0]","(2.0, 3.0]",3,"(-0.001, 2.0]","(1.0, 2.0]","(1.0, 2.0]","(1.0, 2.0]"
"(17.999, 32.0]",No,Travel_Frequently,"(902.0, 1102.0]",Research & Development,"(0.999, 8.0]",2,Life Sciences,"(0.999, 251.0]",4,Male,"(78.0, 102.0]",3,1,Laboratory Technician,4,Single,"(1008.999, 4009.0]","(7094.0, 12094.0]","(-0.001, 0.5]",No,"(10.999, 16.0]",3,3,0,"(5.0, 10.0]","(1.0, 2.0]",2,"(5.0, 10.0]","(6.0, 8.0]","(2.0, 15.0]","(5.0, 7.0]"
"(46.0, 60.0]",No,Travel_Rarely,"(1302.0, 1502.0]",Research & Development,"(0.999, 8.0]",3,Medical,"(0.999, 251.0]",3,Female,"(78.0, 102.0]",4,1,Laboratory Technician,1,Married,"(1008.999, 4009.0]","(7094.0, 12094.0]","(2.0, 4.0]",Yes,"(16.0, 21.0]",4,1,3,"(10.0, 15.0]","(2.0, 3.0]",2,"(-0.001, 2.0]","(-0.001, 1.0]","(-0.001, 0.5]","(-0.001, 1.0]"
"(17.999, 32.0]",No,Travel_Rarely,"(1302.0, 1502.0]",Research & Development,"(22.0, 29.0]",1,Life Sciences,"(0.999, 251.0]",4,Male,"(54.0, 78.0]",3,1,Laboratory Technician,3,Divorced,"(1008.999, 4009.0]","(12094.0, 17094.0]","(0.5, 1.5]",No,"(21.0, 26.0]",4,2,1,"(-0.001, 5.0]","(1.0, 2.0]",3,"(-0.001, 2.0]","(-0.001, 1.0]","(-0.001, 0.5]","(-0.001, 1.0]"
"(32.0, 46.0]",No,Travel_Frequently,"(101.999, 302.0]",Research & Development,"(22.0, 29.0]",3,Life Sciences,"(0.999, 251.0]",4,Male,"(29.999, 54.0]",2,3,Manufacturing Director,3,Single,"(7009.0, 10009.0]","(7094.0, 12094.0]","(-0.001, 0.5]",No,"(16.0, 21.0]",4,2,0,"(5.0, 10.0]","(1.0, 2.0]",3,"(5.0, 10.0]","(6.0, 8.0]","(0.5, 1.0]","(7.0, 17.0]"
"(32.0, 46.0]",No,Travel_Rarely,"(1102.0, 1302.0]",Research & Development,"(22.0, 29.0]",3,Medical,"(0.999, 251.0]",3,Male,"(78.0, 102.0]",3,2,Healthcare Representative,3,Married,"(4009.0, 7009.0]","(12094.0, 17094.0]","(4.0, 9.0]",No,"(10.999, 16.0]",3,2,2,"(15.0, 20.0]","(2.0, 3.0]",2,"(5.0, 10.0]","(6.0, 8.0]","(2.0, 15.0]","(5.0, 7.0]"
